PC,R,-44,-339,8,2184,C,180,-765,E
PC,R,-45,-339,10,2184,C,179,-765,P,400,-400,400,400,-400,400,-400,-400,0,E
PC,R,-44,-340,14,2185,C,179,-770,E
PC,R,-45,-340,8,2183,C,176,-774,P,400,-400,400,400,-400,400,-400,-400,0,E
PC,R,-45,-340,10,2184,C,183,-770,E
PC,R,-44,-341,7,2187,C,179,-767,E
PC,R,-44,-341,12,2187,C,180,-772,E
PC,R,-44,-342,14,2189,C,180,-772,P,400,-400,400,400,-400,400,-400,-400,0,E
PC,R,-45,-341,11,2179,C,168,-784,P,400,-400,400,400,-400,400,-400,-400,0,E
PC,R,-44,-340,9,2176,C,178,-779,P,400,-400,400,400,-400,400,-400,-400,0,E
PC,R,-44,-340,9,2175,C,176,-780,E
PC,R,-44,-339,11,2175,C,170,-782,E
PC,R,-45,-339,11,2174,C,172,-779,E
PC,R,-45,-339,7,2173,C,170,-780,E
PC,R,-45,-338,10,2171,C,168,-779,P,400,-400,400,400,-400,400,-400,-400,0,E
PC,R,-46,-339,10,2173,C,176,-780,E
PC,R,-45,-339,9,2173,C,173,-783,E
PC,R,-45,-340,7,2177,C,173,-781,E
PC,R,-46,-341,9,2178,C,167,-781,E
PC,R,-45,-340,10,2176,C,171,-783,E
PC,R,-45,-339,11,2173,C,175,-786,E
PC,R,-45,-339,10,2173,C,168,-785,E
PC,R,-45,-339,7,2173,C,170,-784,E
PC,R,-45,-339,9,2172,C,172,-782,E
PC,R,-45,-339,10,2172,C,172,-780,E
PC,R,-41,-336,30,2168,C,175,-777,E
PC,R,-32,-330,30,2155,C,177,-781,E
PC,R,-26,-329,78,2151,C,171,-784,E
PC,R,-13,-327,110,2150,C,173,-776,E
PC,R,-5,-327,114,2154,C,174,-774,E
PC,R,17,-328,130,2158,C,171,-777,E
PC,R,22,-327,119,2156,C,169,-778,E
PC,R,32,-327,80,2158,C,171,-781,E
PC,R,38,-325,62,2156,C,169,-782,E
PC,R,48,-324,18,2153,C,169,-783,E
PC,R,61,-323,-14,2156,C,170,-780,E
PC,R,72,-325,-44,2160,C,164,-782,E
PC,R,90,-328,-66,2169,C,172,-778,E
PC,R,101,-328,-68,2172,C,176,-780,E
PC,R,113,-330,-80,2177,C,171,-782,E
PC,R,129,-333,-100,2188,C,175,-777,E
PC,R,159,-337,-119,2204,C,179,-778,E
PC,R,166,-338,-112,2207,C,177,-778,E
PC,R,175,-343,-98,2217,C,168,-782,E
PC,R,189,-344,-57,2224,C,173,-779,E
PC,R,199,-344,-52,2228,C,169,-783,E
PC,R,216,-348,-2,2241,C,165,-781,E
PC,R,229,-349,53,2252,C,177,-780,E
PC,R,266,-347,265,2272,C,179,-777,E
PC,R,275,-346,326,2279,C,176,-780,E
PC,R,280,-345,382,2279,C,167,-783,E
PC,R,284,-343,414,2278,C,167,-784,E
PC,R,293,-339,479,2280,C,170,-783,E
PC,R,298,-337,512,2284,C,173,-782,E
PC,C,170,-780,E
PC,R,313,-328,649,2294,C,173,-778,E
PC,R,318,-325,699,2298,C,180,-775,E
PC,R,324,-320,745,2298,C,176,-778,E
PC,R,334,-309,873,2296,C,173,-778,E
PC,R,340,-303,940,2297,C,177,-779,E
PC,R,345,-293,991,2290,C,171,-783,E
PC,R,351,-286,1025,2295,C,173,-778,E
PC,R,357,-276,1052,2292,C,173,-780,E
PC,R,359,-271,1067,2290,C,172,-784,E
PC,R,364,-261,1111,2287,C,164,-785,E
PC,R,368,-252,1167,2287,C,167,-781,E
PC,R,373,-242,1219,2286,C,169,-780,E
PC,R,378,-230,1261,2284,C,173,-777,E
PC,R,383,-218,1304,2280,C,173,-780,E
PC,R,386,-209,1330,2277,C,173,-780,E
