DK2
DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:0.000000,-300.000000,0.000000,0.000000,-300.000000,0.000000

DK2,x,y,t,xo,yo,to:-44.952530,-338.999207,0.010398,0.094238,-299.999512,0.000000

