ID,xp,yp,zp,xo,yo,zo,wo,xori,yori,zori,xoori,yoori,zoori,woori
13,0.221768308881,1.15195040739,-0.0590985840988,0.999474802458,-0.0315085215287,0.00757181102422,0.0,0.000938042298196,-0.475312046216,1.73606817579,-0.79918262623,-0.00629300097489,-0.0122556000031,0.600930385602
15,0.24378196963,0.033972463668,-0.0274066392687,0.999634753137,-0.0268511799441,-0.0030617735134,0.0,0.0244553961467,0.231409908056,0.869261001907,0.914320638439,0.00939028504367,0.00429172362094,0.404859449414
14,0.235809876552,0.569096369144,-0.0386880159287,0.998802647588,0.0159748937231,-0.0462393116393,0.0,0.0157367760287,-0.109823018045,1.28161096704,0.928977858967,-0.0197474341506,0.0139201205367,0.369345917316
13,0.222128451877,1.15106135066,-0.0586472199918,0.999637563305,-0.0261878555436,0.00624005224023,0.0,0.00129644435917,-0.475074644339,1.73509913363,-0.798336325222,-0.00543448207027,-0.00965330408971,0.602109950055
15,0.24376997782,0.0340496841548,-0.0275019051409,0.999647568751,-0.0263007922099,-0.00360646899155,0.0,0.0244439402815,0.231431591248,0.869381753701,0.914379511412,0.00902442660023,0.00442159894963,0.404733391625
14,0.235809618241,0.569664268947,-0.0392050410232,0.998929010241,0.0176118694554,-0.0427861490889,0.0,0.0157391955702,-0.10980302147,1.28237870364,0.929670118867,-0.0196977790314,0.011973792267,0.367671179026
13,0.2220321161,1.14716566984,-0.0568184012496,0.999641869065,-0.0263024977571,0.00493074267769,0.0,0.00119354527298,-0.473911269957,1.73095592721,-0.798234218179,-0.00478333820364,-0.00975466101559,0.602249200242
15,0.243762209772,0.0341099154326,-0.0276016059266,0.999630438398,-0.0269214737888,-0.00377105773141,0.0,0.0244367647156,0.231467710309,0.869492534208,0.914381551276,0.00926984208245,0.00462881391813,0.404720919642
14,0.235820989973,0.567662118055,-0.0376913641008,0.998840839594,0.0155122726622,-0.0455669458773,0.0,0.0157432501509,-0.10963967451,1.27987405663,0.928720585239,-0.019376931722,0.0137423607766,0.37001858952
13,0.222135452762,1.1509448629,-0.0586470022649,0.999570081997,-0.0290223512067,0.00416585003367,0.0,0.0013036229981,-0.474998702603,1.73501081727,-0.798284676361,-0.00449267355786,-0.0111368603916,0.602160578013
15,0.243794824854,0.034282399784,-0.0278369639618,0.999666906139,-0.0257767749714,-0.00127853113698,0.0,0.0244707305009,0.231532850856,0.869776807025,0.914540051262,0.00928369896891,0.00326084638226,0.404375660064
